Phoneme,ʁ,ʃ,ʊ, ,:,χ,I,ŋ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,m,l,o,n,s,r,u,t,v,y,z,ɾ
Line 1,1,0,0,4,1,1,2,1,0,0,3,0,2,0,0,2,1,0,1,1,1,0,1,0,2,1,0,1,2,0,0,1,0
Line 2,1,0,1,4,3,1,0,0,0,1,3,0,2,0,0,2,0,0,2,0,0,1,2,0,2,0,1,0,1,1,1,0,0
Line 3,0,0,1,5,2,0,2,0,2,1,1,0,1,0,0,3,0,0,2,0,0,2,1,1,2,0,0,0,2,1,1,0,2
Line 4,1,2,2,4,1,0,1,0,1,0,1,2,0,1,1,2,0,0,0,0,0,1,2,0,2,1,0,0,2,0,0,0,2
Line 5,0,1,2,4,1,0,1,0,0,0,1,1,1,1,0,1,0,0,2,0,0,1,2,0,1,1,0,0,2,0,0,1,0
Line 6,1,0,0,4,0,1,0,0,0,0,1,2,2,0,1,1,0,1,0,0,1,0,0,0,2,0,0,1,2,2,0,0,2
Line 7,1,0,0,3,1,1,1,0,0,0,2,1,2,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1
Line 8,1,0,0,3,1,0,0,0,0,2,4,0,0,0,1,2,0,0,1,1,1,1,1,0,0,0,0,0,2,1,1,0,2
