Category,close,neutral,open,closeMid,openMid
Line 1,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285
Line 2,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
Line 3,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0
Line 4,0.0,0.25,0.25,0.25,0.25
Line 5,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
Line 6,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0
Line 7,0.0,0.4,0.6,0.0,0.0
Line 8,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Line 9,0.0,0.5,0.5,0.0,0.0
Line 10,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0
Line 11,0.0,0.5,0.5,0.0,0.0
Line 12,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666
Line 13,0.0,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285
Line 14,0.0,0.0,0.5,0.3333333333333333,0.16666666666666666
Line 15,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.0
Line 16,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0
Line 17,0.0,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857
Line 18,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0
Line 19,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
Line 20,0.4,0.4,0.2,0.0,0.0
Line 21,0.0,0.375,0.5,0.0,0.125
Line 22,0.0,0.2,0.6,0.2,0.0
Line 23,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285
Line 24,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0
Mean,0.080158730158730152,0.26413690476190482,0.47053571428571428,0.1060515873015873,0.079117063492063489
StDev,0.1182726095885534,0.12800078782627036,0.16181546980419279,0.12567463293337189,0.10364778883606705
