title	close	neutral	open
AmFeierabend	0.231404958677686	0.322314049586777	0.446280991735537
DanksagungAnDenBach	0.228571428571429	0.19047619047619	0.580952380952381
DasWandern	0.192857142857143	0.257142857142857	0.55
DerJager	0.267281105990783	0.235023041474654	0.497695852534562
DerMullerUndDerBach	0.303030303030303	0.224242424242424	0.472727272727273
DerNeugierige	0.267716535433071	0.196850393700787	0.535433070866142
DesBachesWiegenlied	0.284974093264249	0.207253886010363	0.507772020725389
DesMullersBlumen	0.24	0.193333333333333	0.566666666666667
DieBoseFarbe	0.273809523809524	0.202380952380952	0.523809523809524
DieLiebeFarbe	0.267175572519084	0.16793893129771	0.564885496183206
EifersuchtUndStolz	0.283582089552239	0.201492537313433	0.514925373134328
Halt	0.219178082191781	0.246575342465753	0.534246575342466
Mein	0.229166666666667	0.1875	0.583333333333333
MitDemGrunenLautenbande	0.300813008130081	0.130081300813008	0.569105691056911
Morgengruss	0.327485380116959	0.257309941520468	0.415204678362573
NachtUndTraume	0.285714285714286	0.339285714285714	0.375
Pause	0.235632183908046	0.21264367816092	0.551724137931034
Tranenregen	0.252475247524752	0.267326732673267	0.48019801980198
TrockneBlumen	0.340425531914894	0.184397163120567	0.475177304964539
Ungeduld	0.241228070175439	0.223684210526316	0.535087719298246
Wohin	0.182432432432432	0.263513513513513	0.554054054054054
