Category,close,neutral,open,closeMid,openMid
Line 1,0.25,0.25,0.375,0.0,0.125
Line 2,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Line 3,0.25,0.25,0.375,0.0,0.125
Line 4,0.25,0.125,0.5,0.125,0.0
Line 5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Line 6,0.125,0.375,0.25,0.0,0.25
Line 7,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
Line 8,0.0,0.0,1.0,0.0,0.0
Line 9,0.0,0.25,0.625,0.125,0.0
Line 10,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Line 11,0.125,0.125,0.375,0.375,0.0
Line 12,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
Line 13,0.125,0.25,0.375,0.125,0.125
Line 14,0.125,0.125,0.5,0.25,0.0
Line 15,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
Line 16,0.25,0.125,0.25,0.25,0.125
Line 17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
Line 18,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0
Line 19,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857
Line 20,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
Line 21,0.125,0.375,0.375,0.125,0.0
Line 22,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Line 23,0.0,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285
Line 24,0.25,0.25,0.5,0.0,0.0
Line 25,0.0,0.5,0.5,0.0,0.0
Mean,0.12071428571428572,0.26095238095238094,0.42476190476190484,0.11976190476190476,0.073809523809523797
StDev,0.12329931503635928,0.11621242962001072,0.20763406455084568,0.16456429107097204,0.11190476190476188
