"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"statOutput/AmFeierabendIPA-categoryWholeSong.csv",1,0.803493836919815,0.0418677116426554,0.827027431927395,0.690183010000391,0.509173708494703,0.638474153861658,0.585205735980653,0.656404660348593,0.373305797067687,0.812597673385859,0.392128371206767,-0.0134255403385266,0.533396654707507,0.855683987041013,0.927708349577419,0.704210554822662,0.924909144751144,0.842602873184436,0.392128371206768,0.678259482827127
"statOutput/DanksagungAnDenBachIPA-categoryWholeSong.csv",0.803493836919815,1,0.628431527990018,0.999173573784846,0.985347087463907,0.921482333134751,0.971188744113115,0.952939555940907,0.976526631795455,0.852225815000512,0.999880584540898,0.862707479566707,0.584472079804523,0.932135561039377,0.995610556586501,0.523174120390824,0.988495879235138,0.96948980802386,0.9976233907158,0.862707479566707,0.982426741156625
"statOutput/DasWandernIPA-categoryWholeSong.csv",0.0418677116426554,0.628431527990018,1,0.596294388435862,0.751896734829132,0.881227051677665,0.795699864696363,0.834675065193022,0.781229655742611,0.942524359981139,0.616335597296046,0.935521412733404,0.99847101868602,0.867455654001205,0.552870477867177,-0.334137443041248,0.73885233109261,0.418578674853112,0.57334106585145,0.935521412733403,0.762575330715275
"statOutput/DerJagerIPA-categoryWholeSong.csv",0.827027431927395,0.999173573784846,0.596294388435862,1,0.977599989601153,0.904932720837569,0.960699503125874,0.939829496790326,0.96696439928208,0.83025611371769,0.999682401572613,0.841439251351155,0.551007610616125,0.916646595397607,0.99859201552667,0.557382082268885,0.98153120807695,0.978652433655625,0.999599605404998,0.841439251351155,0.974028153504412
"statOutput/DerMullerUndDerBachIPA-categoryWholeSong.csv",0.690183010000391,0.985347087463907,0.751896734829132,0.977599989601153,1,0.974229354731909,0.997604710515055,0.990683605362841,0.998955988100739,0.928971421683902,0.982593621455615,0.936319651670969,0.714303562838958,0.980238886351228,0.965058656726271,0.370151452374012,0.999808539151988,0.913474019154054,0.971253190956028,0.936319651670969,0.999866333369514
"statOutput/DerNeugierigeIPA-categoryWholeSong.csv",0.509173708494703,0.921482333134751,0.881227051677665,0.904932720837569,0.974229354731909,1,0.987498330711666,0.995870594885822,0.983516483516484,0.988522467870287,0.915369765832996,0.991395106929681,0.85375027468289,0.999597126150305,0.881084182141429,0.151073924009533,0.969629200754072,0.798153638291196,0.892529157188642,0.991395106929681,0.977786984353449
"statOutput/DesBachesWiegenliedIPA-categoryWholeSong.csv",0.638474153861658,0.971188744113115,0.795699864696363,0.960699503125874,0.997604710515055,0.987498330711666,1,0.997730803479687,0.999723206882786,0.952350585744069,0.967389974471453,0.958366755657423,0.761002038809127,0.991574464621042,0.944621505831303,0.305005511151731,0.996060177981367,0.883139877646726,0.952460314934168,0.958366755657423,0.998602320202236
"statOutput/DesMullersBlumenIPA-categoryWholeSong.csv",0.585205735980653,0.952939555940907,0.834675065193022,0.939829496790326,0.990683605362841,0.995870594885822,0.997730803479687,1,0.995870594885822,0.970725343394151,0.948140812820255,0.975417269131967,0.802955068546966,0.998046095756055,0.920383042932524,0.240192230707631,0.987829161147262,0.849550996819689,0.929786249633246,0.975417269131967,0.992777757560162
"statOutput/DieBoseFarbeIPA-categoryWholeSong.csv",0.656404660348593,0.976526631795455,0.781229655742611,0.96696439928208,0.998955988100739,0.983516483516484,0.999723206882786,0.995870594885822,1,0.944911182523068,0.973081344764673,0.951383645215031,0.745528408878017,0.988252392057805,0.952080634834643,0.327326835353989,0.997870827960501,0.893932074886139,0.959364413889195,0.95138364521503,0.999569367668253
"statOutput/DieLiebeFarbeIPA-categoryWholeSong.csv",0.373305797067687,0.852225815000512,0.942524359981139,0.83025611371769,0.928971421683902,0.988522467870287,0.952350585744069,0.970725343394151,0.944911182523068,1,0.844039073299905,0.999792452175287,0.922612906314878,0.983836311575444,0.799519666507824,7.24740397229728e-17,0.921550640565428,0.697977721022242,0.814152342437979,0.999792452175287,0.934899145015035
"statOutput/EifersuchtUndStolzIPA-categoryWholeSong.csv",0.812597673385859,0.999880584540898,0.616335597296046,0.999682401572613,0.982593621455615,0.915369765832996,0.967389974471453,0.948140812820255,0.973081344764673,0.844039073299905,1,0.854789475255885,0.571862943917479,0.926428320112068,0.996938020397387,0.536281682274379,0.986040500340762,0.973162225029764,0.998569058981981,0.854789475255885,0.979425013934065
"statOutput/HaltIPA-categoryWholeSong.csv",0.392128371206767,0.862707479566707,0.935521412733404,0.841439251351155,0.936319651670969,0.991395106929681,0.958366755657423,0.975417269131967,0.951383645215031,0.999792452175287,0.854789475255885,1,0.914563063088059,0.987280285468943,0.811590468212025,0.0203728391081351,0.929269296234723,0.712422244089335,0.825812882948934,1,0.941935704253981
"statOutput/MeinIPA-categoryWholeSong.csv",-0.0134255403385266,0.584472079804523,0.99847101868602,0.551007610616125,0.714303562838958,0.85375027468289,0.761002038809127,0.802955068546966,0.745528408878017,0.922612906314878,0.571862943917479,0.914563063088059,1,0.838627869377535,0.505964049189075,-0.385727138144589,0.70047279691578,0.367736538482748,0.527174484297282,0.914563063088059,0.725650250732135
"statOutput/MitDemGrunenLautenbandeIPA-categoryWholeSong.csv",0.533396654707507,0.932135561039377,0.867455654001205,0.916646595397607,0.980238886351228,0.999597126150305,0.991574464621042,0.998046095756055,0.988252392057805,0.983836311575444,0.926428320112068,0.987280285468943,0.838627869377535,1,0.894153147653652,0.179070131584322,0.976180427110111,0.814931435040949,0.904969947137549,0.987280285468943,0.983342132705947
