"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"statOutput/AmFeierabendIPAMusic-categoryWholeSong.csv",1,0.36710976598206,-0.713871636866531,0.357300666182798,0.0524142418360964,0.0287120518189796,0.151921058290557,0.0315679716673463,0.0315679716673463,-0.355386235382543,0.371271283921573,-0.379141324242219,-0.413940056246393,-0.0845463968628233,0.626903243933426,0.99093755199671,0.0706095595776007,0.571309972671593,0.155357761724736,-0.124533870346679,-0.670098225152158,0.45536187903215
"statOutput/DanksagungAnDenBachIPAMusic-categoryWholeSong.csv",0.36710976598206,1,0.389312357003934,0.999944625907184,0.948140812820255,0.940334612810774,0.975152416785151,0.941302945078471,0.941302945078471,0.738989449511251,0.99998997436713,0.721542947940348,0.694783109862514,0.895809359597113,0.954841014485249,0.238838258029035,0.953777391593378,0.973162225029764,0.975917015993992,0.877218927507265,0.444445610888781,0.995310926498132
"statOutput/DasWandernIPAMusic-categoryWholeSong.csv",-0.713871636866531,0.389312357003934,1,0.398984102737044,0.661896957714143,0.679491151654559,0.583696074727743,0.677392085990898,0.677392085990898,0.908262356652236,0.385183877778919,0.918651311766926,0.932964734838544,0.758124543204204,0.098055020590969,-0.801465723022171,0.648122547148409,0.16689907479619,0.580868510983271,0.78372637314522,0.998160118197223,0.298390818260127
"statOutput/DerJagerIPAMusic-categoryWholeSong.csv",0.357300666182798,0.999944625907184,0.398984102737044,1,0.951433227206707,0.943863192412072,0.977429753594668,0.944803182418255,0.944803182418255,0.746038423627876,0.99988747791906,0.728789180588736,0.702313377856643,0.900436826184333,0.951661412996688,0.228606040137504,0.956887051754985,0.970686655980962,0.978158604974456,0.882222609735172,0.453848058267508,0.994237898009706
"statOutput/DerMullerUndDerBachIPAMusic-categoryWholeSong.csv",0.0524142418360964,0.948140812820255,0.661896957714143,0.951433227206707,1,0.999718640088217,0.994996841658075,0.99978233266566,0.99978233266566,0.914807404251073,0.946708018960313,0.904194430179465,0.887356509416114,0.990618458758506,0.810884854079383,-0.082199493652679,0.999833836438522,0.849550996819689,0.994643350024282,0.984324138288089,0.706129438934808,0.912950099283328
"statOutput/DerNeugierigeIPAMusic-categoryWholeSong.csv",0.0287120518189796,0.940334612810774,0.679491151654559,0.943863192412072,0.999718640088217,1,0.992347105302417,0.999995918152869,0.999995918152869,0.92413031241509,0.938801591006022,0.914071358910158,0.898043776546086,0.993581243217256,0.796775595650216,-0.105816142533935,0.999120128531592,0.83679948799849,0.991911642060343,0.988230667773551,0.722726519562935,0.903013763071093
"statOutput/DesBachesWiegenliedIPAMusic-categoryWholeSong.csv",0.151921058290557,0.975152416785151,0.583696074727743,0.977429753594668,0.994996841658075,0.992347105302417,1,0.992695862586538,0.992695862586538,0.869879254721078,0.974150639077688,0.856998478845404,0.836851693461049,0.972009355660135,0.865293656348468,0.0177800514283275,0.996652711287149,0.898001824010388,0.999993951765328,0.961779029596279,0.631854573652118,0.949151383880592
"statOutput/DesMullersBlumenIPAMusic-categoryWholeSong.csv",0.0315679716673463,0.941302945078471,0.677392085990898,0.944803182418255,0.99978233266566,0.999995918152869,0.992695862586538,1,1,0.923034862877551,0.939781950602541,0.912908874582968,0.896783204562402,0.993253977151693,0.798498887818252,-0.102974536829316,0.999235882049249,0.838360424577936,0.992270260311177,0.987789562739304,0.720748850711249,0.904237569873942
"statOutput/DieBoseFarbeIPAMusic-categoryWholeSong.csv",0.0315679716673463,0.941302945078471,0.677392085990898,0.944803182418255,0.99978233266566,0.999995918152869,0.992695862586538,1,1,0.923034862877551,0.939781950602541,0.912908874582968,0.896783204562402,0.993253977151693,0.798498887818252,-0.102974536829316,0.999235882049249,0.838360424577936,0.992270260311177,0.987789562739304,0.720748850711249,0.904237569873942
"statOutput/DieLiebeFarbeIPAMusic-categoryWholeSong.csv",-0.355386235382543,0.738989449511251,0.908262356652236,0.746038423627876,0.914807404251073,0.92413031241509,0.869879254721078,0.923034862877551,0.923034862877551,1,0.735965235163537,0.999673848513533,0.997987669118046,0.961419445889025,0.505444520208113,-0.477720246192308,0.907292845414697,0.564120759806231,0.868158422430763,0.971700708440059,0.931960237211467,0.670357485686504
"statOutput/EifersuchtUndStolzIPAMusic-categoryWholeSong.csv",0.371271283921573,0.99998997436713,0.385183877778919,0.99988747791906,0.946708018960313,0.938801591006022,0.974150639077688,0.939781950602541,0.939781950602541,0.735965235163537,1,0.718435384540305,0.691555586014179,0.89381024832782,0.956161888719223,0.243184124360838,0.952422171758879,0.974182912611764,0.974930423584924,0.87506035796468,0.440429868408585,0.995734078228274
"statOutput/HaltIPAMusic-categoryWholeSong.csv",-0.379141324242219,0.721542947940348,0.918651311766926,0.728789180588736,0.904194430179465,0.914071358910158,0.856998478845404,0.912908874582968,0.912908874582968,0.999673848513533,0.718435384540305,1,0.999281503958757,0.954080676849032,0.483243852015648,-0.5,0.896258159530272,0.542850125462853,0.85520102004902,0.965351283864035,0.940915397830364,0.651188569507963
"statOutput/MeinIPAMusic-categoryWholeSong.csv",-0.413940056246393,0.694783109862514,0.932964734838544,0.702313377856643,0.887356509416114,0.898043776546086,0.836851693461049,0.896783204562402,0.896783204562402,0.997987669118046,0.691555586014179,0.999281503958757,1,0.942041977334106,0.449714971033923,-0.532463867072914,0.878803924605699,0.510629818777538,0.834942675627156,0.954767306140875,0.953074169175391,0.621957118652688
