"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"statOutput/AmFeierabendIPA-wholeSongStressed.csv",1,0.951306872755889,0.973076022428033,0.998565540044536,0.944477904607449,0.978912446811636,0.987393965644762,0.998913449137555,0.992603162198566,0.987683023121275,0.968401214323155,0.845341727376169,0.942413987793854,0.997775322663342,0.986269162125151,0.944477904607449,0.996506426534479,0.996522386883972,0.999321650572021,0.985167717942892,0.969778391515751
"statOutput/DanksagungAnDenBachIPA-wholeSongStressed.csv",0.951306872755889,1,0.854648151796396,0.966446672240429,0.999770037844897,0.868277688003272,0.890524999375635,0.964638659981234,0.906847944574296,0.891359094266404,0.998122350447448,0.63950669765968,0.793432652753442,0.928640917871478,0.989150071709326,0.999770037844897,0.973726872319308,0.922313904486802,0.962013353129115,0.884303697820127,0.847348839703633
"statOutput/DasWandernIPA-wholeSongStressed.csv",0.973076022428033,0.854648151796396,1,0.959339337880553,0.843317408908329,0.999639639627938,0.997290897641645,0.961277260162195,0.993860093542961,0.997154107241793,0.884845782309732,0.945712508137646,0.994125639970616,0.986276800984127,0.921651340957615,0.843317408908329,0.950427348370165,0.988897258621257,0.963927854491769,0.998192867806741,0.999903396638364
"statOutput/DerJagerIPA-wholeSongStressed.csv",0.998565540044536,0.966446672240429,0.959339337880553,1,0.960716005403749,0.966570440652151,0.977502687446251,0.999975863141051,0.984678960822016,0.977888449686544,0.980365591089833,0.815525011736505,0.923154721195284,0.992774530386952,0.993696815294919,0.960716005403749,0.999548688767931,0.990631412966889,0.999860002799258,0.974566851314809,0.955323442309241
"statOutput/DerMullerUndDerBachIPA-wholeSongStressed.csv",0.944477904607449,0.999770037844897,0.843317408908329,0.960716005403749,1,0.857439806002326,0.88056432212163,0.958764546394205,0.897601401178432,0.881433317857986,0.996579300589901,0.622873327238865,0.780197756860978,0.920471846382659,0.985772206632174,1,0.968619604501137,0.913814717975522,0.95593769572216,0.874087590738349,0.835766105671141
"statOutput/DerNeugierigeIPA-wholeSongStressed.csv",0.978912446811636,0.868277688003272,0.999639639627938,0.966570440652151,0.857439806002326,1,0.998906107238672,0.96832855737753,0.996472056200547,0.998818534413121,0.897033028188314,0.936647350261323,0.990862030010346,0.990353306271497,0.931735130186809,0.857439806002326,0.958431850717183,0.992529914228291,0.970725343394151,0.999446246598493,0.999169954100806
"statOutput/DesBachesWiegenliedIPA-wholeSongStressed.csv",0.987393965644762,0.890524999375635,0.997290897641645,0.977502687446251,0.88056432212163,0.998906107238672,1,0.978944562533155,0.999306447496358,0.99999831318764,0.916718415662534,0.919243613162577,0.983471043367979,0.995749412396793,0.947696627686782,0.88056432212163,0.970725343394151,0.997149102855498,0.980895097218367,0.999908913183536,0.996172125015504
"statOutput/DesMullersBlumenIPA-wholeSongStressed.csv",0.998913449137555,0.964638659981234,0.961277260162195,0.999975863141051,0.958764546394205,0.96832855737753,0.978944562533155,1,0.985866745594869,0.979317838611939,0.978971884648512,0.819526221460258,0.925803405765705,0.993584277667324,0.992893965324822,0.958764546394205,0.999315846286375,0.991556325289007,0.999952124476334,0.976100328787219,0.957353917853846
"statOutput/DieBoseFarbeIPA-wholeSongStressed.csv",0.992603162198566,0.906847944574296,0.993860093542961,0.984678960822016,0.897601401178432,0.996472056200547,0.999306447496358,0.985866745594869,1,0.999373157358371,0.930960227563266,0.903946107369458,0.976046546899779,0.998488513524848,0.958924505511189,0.897601401178432,0.978996228681521,0.999267327380626,0.987458862824004,0.998712835726174,0.992226180662241
"statOutput/DieLiebeFarbeIPA-wholeSongStressed.csv",0.987683023121275,0.891359094266404,0.997154107241793,0.977888449686544,0.881433317857986,0.998818534413121,0.99999831318764,0.979317838611939,0.999373157358371,1,0.917450710122365,0.918518957022635,0.983136813836494,0.995916903667205,0.948281266746535,0.881433317857986,0.971164877166686,0.997286014785716,0.981250757721627,0.999882436265387,0.996009888834414
"statOutput/EifersuchtUndStolzIPA-wholeSongStressed.csv",0.968401214323155,0.998122350447448,0.884845782309732,0.980365591089833,0.996579300589901,0.897033028188314,0.916718415662534,0.978971884648512,0.930960227563266,0.917450710122365,1,0.685395366018202,0.829224218590269,0.949620410292864,0.996291199120709,0.996579300589901,0.985846740270259,0.944252332077652,0.976928896271329,0.911242459859838,0.878284726344136
"statOutput/HaltIPA-wholeSongStressed.csv",0.845341727376169,0.63950669765968,0.945712508137646,0.815525011736505,0.622873327238865,0.936647350261323,0.919243613162577,0.819526221460258,0.903946107369458,0.918518957022635,0.685395366018202,1,0.975332996517241,0.879076021918318,0.745509298124249,0.622873327238865,0.797771986890701,0.886916579289309,0.825094273187337,0.924473451641905,0.950138562706665
"statOutput/MeinIPA-wholeSongStressed.csv",0.942413987793854,0.793432652753442,0.994125639970616,0.923154721195284,0.780197756860978,0.990862030010346,0.983471043367979,0.925803405765705,0.976046546899779,0.983136813836494,0.829224218590269,0.975332996517241,1,0.962613897313399,0.874241065507192,0.780197756860978,0.911189745536153,0.967004721493278,0.929457913785403,0.985825278224319,0.995533982763542
"statOutput/MitDemGrunenLautenbandeIPA-wholeSongStressed.csv",0.997775322663342,0.928640917871478,0.986276800984127,0.992774530386952,0.920471846382659,0.990353306271497,0.995749412396793,0.993584277667324,0.998488513524848,0.995916903667205,0.949620410292864,0.879076021918318,0.962613897313399,1,0.973065358803408,0.920471846382659,0.988721804511278,0.999860452495024,0.994643350024282,0.994415600462,0.983886705610312
