"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"statOutput/AmFeierabendIPAMusic-wholeSongStressed.csv",1,0.970494326241028,0.908323190970886,0.999887367091674,0.965023949189001,0.972680449868292,0.987366965146493,0.999800256574428,0.987366965146493,0.950704095377548,0.95780659778042,0.792516083111767,0.942934219487921,0.984845898446086,0.992328404070554,0.963695637865236,0.999940951020665,0.990762048523686,0.975537469368632,0.972031280250845,0.920857786358086,0.986486486486486
"statOutput/DanksagungAnDenBachIPAMusic-wholeSongStressed.csv",0.970494326241028,1,0.78066781974958,0.974003909956016,0.999763743351984,0.888004388219157,0.920027890545311,0.965481332206788,0.920027890545312,0.847880502940033,0.998848149784812,0.622082672569517,0.834823080218701,0.913968817640555,0.992859203274787,0.999642020890125,0.973057344458523,0.92882969030525,0.893746522446902,0.886722538289895,0.799673357716345,0.917873151379641
"statOutput/DasWandernIPAMusic-wholeSongStressed.csv",0.908323190970886,0.78066781974958,1,0.901943320221705,0.766899496762671,0.980608572326129,0.96312313730186,0.916501354914446,0.96312313730186,0.993251609987273,0.749781778698602,0.974942528623863,0.995763849359082,0.967099479982725,0.849644367403592,0.763667920814038,0.903724172317686,0.956654365816274,0.978052735774291,0.981149630295494,0.999519002026261,0.964578856876938
"statOutput/DerJagerIPAMusic-wholeSongStressed.csv",0.999887367091674,0.974003909956016,0.901943320221705,1,0.968849893238503,0.969086714230756,0.98487766507115,0.999387685038333,0.98487766507115,0.945942905964882,0.962012344192958,0.783273910243181,0.937830519307731,0.98213203386232,0.994072125761492,0.967594394523683,0.999991423351435,0.988615135024218,0.972128239042334,0.968397045172468,0.914902299185477,0.983916353921476
"statOutput/DerMullerUndDerBachIPAMusic-wholeSongStressed.csv",0.965023949189001,0.999763743351984,0.766899496762671,0.968849893238503,1,0.877799578195084,0.911293179512876,0.959591583159164,0.911293179512876,0.836155986613419,0.999655129151536,0.604917398119784,0.822659733527387,0.904932720837569,0.990031690462799,0.999987397843771,0.967815910697258,0.9205568766223,0.883785161245738,0.876464407674174,0.786433316156594,0.909029812518017
"statOutput/DerNeugierigeIPAMusic-wholeSongStressed.csv",0.972680449868292,0.888004388219157,0.980608572326129,0.969086714230756,0.877799578195084,1,0.997176464952738,0.977125914607726,0.997176464952738,0.996720306987566,0.864917252658819,0.912440656962921,0.994474139597428,0.998202193145154,0.93651800440027,0.87538361598375,0.970100230903644,0.99517689988169,0.9999200905639,0.999996135327934,0.986214592517232,0.997571878703504
"statOutput/DesBachesWiegenliedIPAMusic-wholeSongStressed.csv",0.987366965146493,0.920027890545311,0.96312313730186,0.98487766507115,0.911293179512876,0.997176464952738,1,0.990336558218328,1,0.987829161147262,0.90016585743812,0.8791352345252,0.983782708849146,0.999884599849595,0.960203107152006,0.909214515604888,0.985586763171505,0.999733439952615,0.998046095756055,0.99696383752856,0.971004085482877,0.999985073327279
"statOutput/DesMullersBlumenIPAMusic-wholeSongStressed.csv",0.999800256574428,0.965481332206788,0.916501354914446,0.999387685038333,0.959591583159164,0.977125914607726,0.990336558218328,1,0.990336558218328,0.956711900262795,0.951870987364306,0.804546368681147,0.949400850463183,0.988115417330068,0.98965930602084,0.958166774575016,0.999524027131486,0.993274510893695,0.979736236129193,0.976530903608739,0.928466430892884,0.989564029077855
"statOutput/DieBoseFarbeIPAMusic-wholeSongStressed.csv",0.987366965146493,0.920027890545312,0.96312313730186,0.98487766507115,0.911293179512876,0.997176464952738,1,0.990336558218328,1,0.987829161147262,0.90016585743812,0.8791352345252,0.983782708849146,0.999884599849596,0.960203107152006,0.909214515604888,0.985586763171505,0.999733439952615,0.998046095756055,0.996963837528561,0.971004085482877,0.999985073327279
"statOutput/DieLiebeFarbeIPAMusic-wholeSongStressed.csv",0.950704095377548,0.847880502940033,0.993251609987273,0.945942905964882,0.836155986613419,0.996720306987566,0.987829161147262,0.956711900262795,0.987829161147262,1,0.821463861043329,0.942562802806683,0.999708078120723,0.990078120454912,0.90507312010397,0.833391815758168,0.947278065893402,0.983974696830679,0.995617648003896,0.996941436132465,0.996370651768337,0.988664270818725
"statOutput/EifersuchtUndStolzIPAMusic-wholeSongStressed.csv",0.95780659778042,0.998848149784812,0.749781778698602,0.962012344192958,0.999655129151536,0.864917252658819,0.90016585743812,0.951870987364306,0.90016585743812,0.821463861043329,1,0.583797717794783,0.807445937470834,0.893445285589458,0.985991579195725,0.999774369719848,0.960873399607933,0.909981761449079,0.871193188070556,0.863518503902266,0.769941534250477,0.897772677267549
"statOutput/HaltIPAMusic-wholeSongStressed.csv",0.792516083111767,0.622082672569517,0.974942528623863,0.783273910243181,0.604917398119784,0.912440656962921,0.8791352345252,0.804546368681147,0.8791352345252,0.942562802806683,0.583797717794783,1,0.95035815433681,0.886273714904801,0.711040433995612,0.600912110257177,0.785841956801402,0.867897858125194,0.907194647775337,0.913574800226828,0.967574676985637,0.881726008697647
