close,neutral,open
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.0,0.4,0.6
0.0,0.5,0.5
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.5,0.5,0.0
0.5,0.25,0.25
0.0,0.2222222222222222,0.7777777777777778
0.5,0.5,0.0
0.5,0.5,0.0
0.3333333333333333,0.0,0.6666666666666666
0.25,0.5,0.25
0.0,0.25,0.75
0.6666666666666666,0.0,0.3333333333333333
0.6666666666666666,0.0,0.3333333333333333
0.4,0.0,0.6
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.4,0.2,0.4
0.25,0.25,0.5
0.25,0.0,0.75
0.5,0.25,0.25
0.42857142857142855,0.2857142857142857,0.2857142857142857
0.5,0.25,0.25
0.5,0.25,0.25
