close,neutral,open
0.2692307692307692,0.19230769230769232,0.5384615384615384
0.2564102564102564,0.23076923076923078,0.5128205128205128
0.2413793103448276,0.3448275862068966,0.41379310344827586
0.21428571428571427,0.35714285714285715,0.42857142857142855
0.22580645161290322,0.16129032258064516,0.6129032258064516
0.23076923076923078,0.23076923076923078,0.5384615384615384
0.19230769230769232,0.23076923076923078,0.5769230769230769
0.38461538461538464,0.3076923076923077,0.3076923076923077
0.2222222222222222,0.2962962962962963,0.48148148148148145
0.24242424242424243,0.24242424242424243,0.5151515151515151
