lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.16666666666666666,0.3333333333333333,0.5,0.30374001154044,0.3975211510543461
line 2,0.6,0.2,0.2,0.2568734634626649,0.3361843385503387
line 3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15614085373867537,0.20435006764508076
line 4,0.5,0.25,0.25,0.15931877626917226,0.20850918851913944
line 5,0.5,0.16666666666666666,0.3333333333333333,0.10454508026962149,0.136823859441764
line 6,0.5,0.0,0.5,0.255650953088904,0.3345843724198027
line 7,0.16666666666666666,0.3333333333333333,0.5,0.30374001154044,0.3975211510543461
line 8,0.6,0.2,0.2,0.2568734634626649,0.3361843385503387
line 9,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.38299573185254954,0.5012474431761083
line 10,0.6,0.2,0.2,0.2568734634626649,0.3361843385503387
line 11,0.6666666666666666,0.3333333333333333,0.0,0.471123383765747,0.6165849169932077
line 12,0.8,0.2,0.0,0.5396267310027911,0.7062389909054284
line 13,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3312375462880137,0.4335086773883834
line 14,0.5,0.0,0.5,0.255650953088904,0.3345843724198027
line 15,0.0,0.16666666666666666,0.8333333333333334,0.6174386007436536,0.8080756368850123
line 16,0.4,0.2,0.4,0.02776587203477407,0.03633871400515677
line 17,0.0,0.16666666666666666,0.8333333333333334,0.6174386007436536,0.8080756368850123
line 18,0.4,0.2,0.4,0.02776587203477407,0.03633871400515677
line 19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15614085373867537,0.20435006764508076
line 20,0.4,0.0,0.6,0.3045503136175338,0.39858163766180504
line 21,0.5,0.3333333333333333,0.16666666666666666,0.26002509285261166,0.340309048154564
line 22,0.0,0.25,0.75,0.5588827166931113,0.7314403516266613
line 23,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.15909388700230442,0.20821486364645744
line 24,0.6,0.2,0.2,0.2568734634626649,0.3361843385503387
line 25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15614085373867537,0.20435006764508076
line 26,0.4,0.2,0.4,0.02776587203477407,0.03633871400515677
line 27,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15614085373867537,0.20435006764508076
line 28,0.4,0.2,0.4,0.02776587203477407,0.03633871400515677
line 29,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.4374572745191578,0.5725242401289623
line 30,0.6,0.0,0.4,0.27922021077635445,0.3654307479035423
line 31,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.4374572745191578,0.5725242401289623
line 32,0.75,0.25,0.0,0.5068518158187101,0.663344668410317
line 33,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15614085373867537,0.20435006764508076
line 34,0.75,0.25,0.0,0.5068518158187101,0.663344668410317
line 35,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.4374572745191578,0.5725242401289623
line 36,0.8,0.2,0.0,0.5396267310027911,0.7062389909054284
line 37,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.4374572745191578,0.5725242401289623
line 38,0.8,0.2,0.0,0.5396267310027911,0.7062389909054284
