close,neutral,open
0.6666666666666666,0.3333333333333333,0.0
0.6,0.2,0.2
0.6666666666666666,0.3333333333333333,0.0
0.6,0.2,0.2
0.4444444444444444,0.2222222222222222,0.3333333333333333
0.5,0.0,0.5
0.4,0.2,0.4
0.5,0.0,0.5
0.4,0.2,0.4
0.3,0.1,0.6
0.3,0.1,0.6
0.2,0.2,0.6
0.25,0.25,0.5
0.2,0.2,0.6
0.25,0.25,0.5
0.09090909090909091,0.36363636363636365,0.5454545454545454
0.0,0.0,1.0
0.25,0.25,0.5
0.0,0.0,1.0
0.25,0.25,0.5
0.4444444444444444,0.3333333333333333,0.2222222222222222
0.4444444444444444,0.3333333333333333,0.2222222222222222
0.0,0.0,1.0
0.4,0.2,0.4
0.0,0.0,1.0
0.4,0.2,0.4
0.2222222222222222,0.2222222222222222,0.5555555555555556
0.0,0.0,1.0
0.2,0.4,0.4
0.0,0.0,1.0
0.2,0.4,0.4
0.36363636363636365,0.2727272727272727,0.36363636363636365
0.36363636363636365,0.2727272727272727,0.36363636363636365
0.5,0.0,0.5
0.6,0.2,0.2
0.5,0.0,0.5
0.06666666666666667,0.26666666666666666,0.6666666666666666
0.25,0.0,0.75
0.25,0.0,0.75
0.25,0.0,0.75
0.25,0.0,0.75
0.1,0.3,0.6
0.1,0.3,0.6
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.25,0.25,0.5
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.25,0.25,0.5
0.0,0.2,0.8
0.25,0.0,0.75
0.5,0.25,0.25
0.25,0.0,0.75
0.5,0.25,0.25
0.45454545454545453,0.18181818181818182,0.36363636363636365
0.45454545454545453,0.18181818181818182,0.36363636363636365
