Category,close,neutral,open,closeMid,openMid
Line 1,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111
Line 2,0.25,0.125,0.375,0.125,0.125
Line 3,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
Line 4,0.25,0.125,0.25,0.125,0.25
Line 5,0.125,0.125,0.375,0.125,0.25
Line 6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0
Line 7,0.125,0.25,0.25,0.125,0.25
Line 8,0.125,0.375,0.25,0.125,0.125
Line 9,0.0,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714
Line 10,0.25,0.25,0.0,0.125,0.375
Line 11,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285
Line 12,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
Line 13,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666
Line 14,0.25,0.375,0.375,0.0,0.0
Line 15,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
Line 16,0.25,0.125,0.375,0.125,0.125
Line 17,0.3333333333333333,0.0,0.5,0.0,0.16666666666666666
Line 18,0.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285
Line 19,0.25,0.25,0.125,0.25,0.125
Line 20,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5
Line 21,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855
Line 22,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
Line 23,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
Line 24,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
Mean,0.15749007936507936,0.26455026455026454,0.25041335978835982,0.12326388888888888,0.20428240740740741
StDev,0.11866231255799474,0.13648196286570879,0.1188075997058349,0.1444140439702333,0.13790215337270256
