lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.375,0.25,0.375,0.1396871504469898,0.31259570802618947
line 2,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 3,0.375,0.25,0.375,0.1396871504469898,0.31259570802618947
line 4,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 5,0.25,0.25,0.5,0.06717514421272225,0.1503263664534851
line 6,0.375,0.125,0.5,0.20648849846904316,0.46208558318820125
line 7,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 8,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 9,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 10,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 11,0.125,0.375,0.5,0.1699632313178354,0.38034834601612205
line 12,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 13,0.125,0.375,0.5,0.1699632313178354,0.38034834601612205
line 14,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 15,0.25,0.0,0.75,0.41924038450511913,0.9381875455844676
line 16,0.25,0.25,0.5,0.06717514421272225,0.1503263664534851
line 17,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 18,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 19,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 20,0.0,0.3333333333333333,0.6666666666666666,0.3446999500370658,0.7713789320895316
line 21,0.375,0.125,0.5,0.20648849846904316,0.46208558318820125
line 22,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 23,0.375,0.125,0.5,0.20648849846904316,0.46208558318820125
line 24,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 25,0.5,0.25,0.25,0.3114682969420803,0.6970122341157626
line 26,0.625,0.125,0.25,0.44456439353596444,0.9948583023987304
line 27,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 28,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 29,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 30,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 31,0.625,0.125,0.25,0.44456439353596444,0.9948583023987304
line 32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 33,0.625,0.125,0.25,0.44456439353596444,0.9948583023987304
line 34,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 35,0.5,0.25,0.25,0.3114682969420803,0.6970122341157626
line 36,0.125,0.25,0.625,0.22806249143600993,0.5103644519666167
line 37,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 38,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 39,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 40,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 41,0.25,0.375,0.375,0.11241663577958538,0.2515690079079785
line 42,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 43,0.25,0.375,0.375,0.11241663577958538,0.2515690079079785
line 44,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 45,0.25,0.25,0.5,0.06717514421272225,0.1503263664534851
line 46,0.5,0.25,0.25,0.3114682969420803,0.6970122341157626
line 47,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 48,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 49,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
line 50,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14117070045397737,0.3159156366190669
