lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.22823811140393077,0.6069443860927092
line 2,0.375,0.125,0.5,0.21824494265340028,0.580369956278587
line 3,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.15979209922748863,0.4249286719537019
line 4,0.625,0.0,0.375,0.3396944724095797,0.9033357827380282
line 5,0.5,0.0,0.5,0.3220725959715153,0.8564746388619561
line 6,0.7142857142857143,0.2857142857142857,0.0,0.45085603963847176,1.1989432462060305
line 7,0.6363636363636364,0.36363636363636365,0.0,0.41484299118959667,1.1031752018260723
line 8,0.5,0.125,0.375,0.16745874866240273,0.4453162829711571
line 9,0.25,0.375,0.375,0.20209559208327102,0.5374246409353658
line 10,0.0,0.2857142857142857,0.7142857142857143,0.5614312168731598,1.492991346459652
line 11,0.25,0.25,0.5,0.23244559129340575,0.6181331673300168
line 12,0.625,0.125,0.25,0.2663719392379189,0.7083521333865137
line 13,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2148846894269003,0.5714341706679856
line 14,0.3333333333333333,0.4166666666666667,0.25,0.19307112863092774,0.5134262499733722
line 15,0.375,0.375,0.25,0.14578822260141477,0.3876887287669653
line 16,0.375,0.375,0.25,0.14578822260141477,0.3876887287669653
line 17,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.15979209922748863,0.4249286719537019
line 18,0.375,0.125,0.5,0.21824494265340028,0.580369956278587
line 19,0.625,0.0,0.375,0.3396944724095797,0.9033357827380282
line 20,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2148846894269003,0.5714341706679856
line 21,0.25,0.4166666666666667,0.3333333333333333,0.22435554157993448,0.5966196250622562
line 22,0.5,0.25,0.25,0.12187742995044085,0.3241037241537283
line 23,0.625,0.0,0.375,0.3396944724095797,0.9033357827380282
line 24,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.3307242428987412,0.879481613904975
line 25,0.625,0.25,0.125,0.29835496550437435,0.7934033026381117
line 26,0.5,0.25,0.25,0.12187742995044085,0.3241037241537283
line 27,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.05609586807679891,0.14917347502913114
line 28,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.057881018442452005,0.15392065325497511
