lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5281760519505371,1.3407572868764026
line 2,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.3907432140349642,0.991888612859611
line 3,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 4,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.28252483428914854,0.7171798662545151
line 6,0.2,0.3,0.5,0.23078722301629084,0.5858456661076314
line 7,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 8,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 9,0.375,0.25,0.375,0.19593169831042972,0.4973660794911973
line 10,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.1254311779535266,0.31840286060230294
line 11,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2811167572316885,0.7136055096203946
line 12,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2811167572316885,0.7136055096203946
line 13,0.5,0.1,0.4,0.1969984193545879,0.5000739152738644
line 14,0.6,0.2,0.2,0.41654622574281835,1.0573886972403819
line 15,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2811167572316885,0.7136055096203946
line 16,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2811167572316885,0.7136055096203946
line 17,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.081015302684261,0.2056546430329117
line 18,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.297978808685257,0.756409264683818
line 19,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 20,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 21,0.25,0.0,0.75,0.276804763738282,0.7026596579940323
line 22,0.75,0.125,0.125,0.5656515279195574,1.435887532367599
line 23,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
line 24,0.3333333333333333,0.0,0.6666666666666666,0.19061697787621418,0.4838748389785496
