close,neutral,open
0.5833333333333334,0.08333333333333333,0.3333333333333333
0.25,0.25,0.5
0.75,0.16666666666666666,0.08333333333333333
0.3333333333333333,0.4166666666666667,0.25
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.4166666666666667,0.25,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.4166666666666667,0.08333333333333333,0.5
0.3333333333333333,0.08333333333333333,0.5833333333333334
0.4166666666666667,0.08333333333333333,0.5
0.3333333333333333,0.08333333333333333,0.5833333333333334
0.5,0.0,0.5
0.5,0.0,0.5
0.5,0.0,0.5
0.2727272727272727,0.2727272727272727,0.45454545454545453
0.5,0.08333333333333333,0.4166666666666667
0.6666666666666666,0.25,0.08333333333333333
0.5,0.07142857142857142,0.42857142857142855
0.625,0.1875,0.1875
0.5,0.0,0.5
0.5,0.0,0.5
0.5,0.0,0.5
