poem,lineNumber,close,neutral,open,distFromPrev,ZNorm
AmFeierabendIPAMusic.txt,line 1,0.25,0.25,0.5,NULL,NULL
AmFeierabendIPAMusic.txt,line 2,0.4,0.4,0.2,0.3674234614174767,0.664124586656525
AmFeierabendIPAMusic.txt,line 3,0.25,0.25,0.5,0.3674234614174767,0.664124586656525
AmFeierabendIPAMusic.txt,line 4,0.6,0.4,0.0,0.6284902544988268,1.1360075616195635
AmFeierabendIPAMusic.txt,line 5,0.6666666666666666,0.3333333333333333,0.0,0.09428090415820635,0.1704144483918194
AmFeierabendIPAMusic.txt,line 6,0.2,0.4,0.4,0.6182412330330469,1.1174822689821915
AmFeierabendIPAMusic.txt,line 7,0.6666666666666666,0.3333333333333333,0.0,0.6182412330330469,1.1174822689821915
AmFeierabendIPAMusic.txt,line 8,0.0,0.5,0.5,0.8498365855987975,1.5360950793915416
AmFeierabendIPAMusic.txt,line 9,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.7071067811865476,1.2781083629386456
AmFeierabendIPAMusic.txt,line 10,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5345224838248488,0.9661591076935825
AmFeierabendIPAMusic.txt,line 11,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.5345224838248488,0.9661591076935825
AmFeierabendIPAMusic.txt,line 12,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.5345224838248488,0.9661591076935825
AmFeierabendIPAMusic.txt,line 13,0.42857142857142855,0.0,0.5714285714285714,0.5345224838248488,0.9661591076935825
AmFeierabendIPAMusic.txt,line 14,0.375,0.25,0.375,0.3224191086654962,0.5827784008309188
AmFeierabendIPAMusic.txt,line 15,0.25,0.25,0.5,0.1767766952966369,0.3195270907346614
AmFeierabendIPAMusic.txt,line 16,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.28121456692899327,0.5083004425003436
AmFeierabendIPAMusic.txt,line 17,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0
AmFeierabendIPAMusic.txt,line 18,0.7,0.2,0.1,0.3398679215248662,0.6143174473119745
AmFeierabendIPAMusic.txt,line 19,0.5,0.4,0.1,0.282842712474619,0.5112433451754581
AmFeierabendIPAMusic.txt,line 20,0.5,0.25,0.25,0.21213203435596428,0.3834325088815937
AmFeierabendIPAMusic.txt,line 21,0.125,0.375,0.5,0.46770717334674267,0.8453892192318847
AmFeierabendIPAMusic.txt,line 22,0.125,0.375,0.5,0.0,0.0
AmFeierabendIPAMusic.txt,line 23,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.19723858959262966,0.3565123366933979
AmFeierabendIPAMusic.txt,line 24,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.20203050891044214,0.3651738179824701
AmFeierabendIPAMusic.txt,line 25,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.0
AmFeierabendIPAMusic.txt,line 26,0.25,0.25,0.5,0.22015764296317772,0.39793894235312577
AmFeierabendIPAMusic.txt,line 27,0.4,0.4,0.2,0.3674234614174767,0.664124586656525
AmFeierabendIPAMusic.txt,line 28,0.25,0.25,0.5,0.3674234614174767,0.664124586656525
AmFeierabendIPAMusic.txt,line 29,0.6,0.4,0.0,0.6284902544988268,1.1360075616195635
AmFeierabendIPAMusic.txt,line 30,0.6666666666666666,0.3333333333333333,0.0,0.09428090415820635,0.1704144483918194
AmFeierabendIPAMusic.txt,line 31,0.2,0.4,0.4,0.6182412330330469,1.1174822689821915
AmFeierabendIPAMusic.txt,line 32,0.6666666666666666,0.3333333333333333,0.0,0.6182412330330469,1.1174822689821915
AmFeierabendIPAMusic.txt,line 33,0.0,0.5,0.5,0.8498365855987975,1.5360950793915416
