pitch,diatonicNumber,duration,IPA,vowelCategory
D#5,37,0.5,dIç,2
C#5,36,0.5,dIç,2
G#4,33,1.0,'heʁ,2
E5,38,1.0,'blIkt,2
C#5,36,0.5,nIçt,2
D5,37,0.5,hɛ,0
E5,38,1.0,'ɾa:In,0
C#5,36,0.5,bla:ʊ,0
C#5,36,0.5,ə,1
E5,38,0.5,'bly,2
D5,37,0.5,'bly,2
C#5,36,0.5,mə,1
B4,35,0.5,mə,1
C#5,36,1.0,'la:In,0
E5,38,1.0,'blIkt,2
C#5,36,0.5,nIçt,2
D5,37,0.5,hɛ,0
E5,38,1.0,'ɾa:In,0
C#5,36,0.5,bla:ʊ,0
C#5,36,0.5,ə,1
E5,38,0.5,'bly,2
D5,37,0.5,'bly,2
C#5,36,0.5,mə,1
B4,35,0.5,mə,1
C#5,36,1.0,'la:In,0
B4,35,0.5,iɾ,2
C#5,36,1.0,'maχt,0
B4,35,0.5,ma:I,0
B4,35,0.5,nəm,1
G5,40,1.0,'ʃlɛ,0
E5,38,0.5,fəʁ,1
B4,35,0.5,di,2
C#5,36,1.0,'tɾɔ:Y,0
B4,35,0.5,mə,1
B4,35,0.5,zo,2
G#4,33,1.0,'ʃveʁ,2
B4,35,0.5,iɾ,2
C5,36,1.0,'maχt,0
B4,35,0.5,ma:I,0
A4,34,0.5,nəm,1
G#4,33,0.5,'ʃlɛ,0
E5,38,0.5,'ʃlɛ,0
B4,35,0.5,fəʁ,1
B4,35,0.5,di,2
F#5,39,1.0,'tɾɔ:Y,0
E5,38,0.5,mə,1
D#5,37,0.5,zo,2
E5,38,2.0,'ʃveʁ,2
G#4,33,0.5,hIn,2
A4,34,0.5,hIn,2
B4,35,1.0,'vek,2
G#4,33,0.5,hIn,2
A4,34,0.5,hIn,2
B4,35,1.0,'vek,2
B4,35,0.5,fɔn,0
E5,38,0.5,dem,2
D#5,37,1.5,'my,2
A4,34,0.5,lən,1
G#4,33,1.0,'ʃtek,2
G#4,33,0.5,hIn,2
A4,34,0.5,hIn,2
B4,35,1.0,'vek,2
G#4,33,0.5,hIn,2
A4,34,0.5,hIn,2
B4,35,1.0,'vek,2
B4,35,0.5,bœ,0
E5,38,0.5,zəs,1
D#5,37,0.5,'mɛg,0
F#5,39,0.5,'mɛg,0
D#5,37,0.5,'mɛg,0
A4,34,0.5,də,1
G#4,33,1.0,'la:In,0
G#4,33,1.0,'das,0
A4,34,0.5,In,2
B4,35,0.5,da:In,0
B4,35,0.75,'ʃa,0
C#5,36,0.25,'ʃa,0
B4,35,0.5,tən,1
B4,35,0.5,da:In,0
E5,38,1.0,'ʃa,0
D#5,37,0.5,tən,1
C#5,36,0.5,nIçt,2
G#4,33,1.0,'vɛkt,0
E5,38,1.0,'vIɾf,2
C#5,36,0.5,miɾ,2
D5,37,0.5,hɛ,0
E5,38,1.5,'ɾa:In,0
C#5,36,0.5,da:In,0
E5,38,0.5,'tyç,2
D5,37,0.5,'tyç,2
C#5,36,0.5,la:In,0
B4,35,0.5,la:In,0
C#5,36,1.0,'fa:In,0
E5,38,1.0,'vIɾf,2
C#5,36,0.5,miɾ,2
D5,37,0.5,hɛ,0
E5,38,1.5,'ɾa:In,0
C#5,36,0.5,da:In,0
E5,38,0.5,'tyç,2
D5,37,0.5,'tyç,2
C#5,36,0.5,la:In,0
B4,35,0.5,la:In,0
C#5,36,1.0,'fa:In,0
C#5,36,1.0,'das,0
B4,35,0.5,Iç,2
B4,35,0.5,di,2
G5,40,1.0,'a:ʊ,0
E5,38,0.5,gən,1
B4,35,0.5,Im,2
C#5,36,1.0,'hal,0
B4,35,0.5,tə,1
B4,35,0.5,bə,1
G#4,33,1.0,'dɛkt,0
C5,36,1.0,'das,0
B4,35,0.5,Iç,2
A4,34,0.5,di,2
G#4,33,0.5,'a:ʊ,0
E5,38,0.5,'a:ʊ,0
B4,35,0.5,gən,1
B4,35,0.5,Im,2
F#5,39,1.0,'hal,0
