pitch,diatonicNumber,beat,duration,IPA,vowelCategory
D-5,37,1.0,0.5,'tɾa:ʊ,0
F5,39,1.5,0.5,ɾI,2
E-5,38,2.0,0.5,'gən,1
D-5,37,2.5,0.5,gə,1
C5,36,1.0,2.0,'zIçt,2
E-5,38,2.0,1.0,zak,0
D5,37,1.0,2.0,'iʁ,2
C5,36,2.0,1.0,eɾ,2
B4,35,1.0,1.5,'ʃnItst,2
G4,33,2.5,0.5,ba:I,0
D4,30,1.0,0.5,'miʁ,2
G4,33,1.5,0.5,zIç,2
B4,35,2.0,0.5,'a:I,0
G4,33,2.5,0.5,nə,1
D5,37,1.0,1.5,'pfa:If,0
C5,36,2.5,0.25,a:ʊs,0
B4,35,2.75,0.25,a:ʊs,0
A4,34,1.0,0.5,'ɾoʁ,2
A4,34,1.5,0.5,ʊnt,2
B4,35,2.0,0.5,'blɛst,0
C5,36,2.5,0.5,den,2
B4,35,1.0,1.5,'kIn,2
G4,33,2.5,0.5,dəɾn,1
D4,30,1.0,0.5,'ʃø,2
G4,33,1.5,0.5,nə,1
B4,35,2.0,0.5,'tents,2
G4,33,2.5,0.5,ʊnt,2
D5,37,1.0,1.5,'li,2
C5,36,2.5,0.25,dəʁ,1
B4,35,2.75,0.25,dəʁ,1
A4,34,1.0,1.0,'foʁ,2
B-4,35,2.5,0.5,zak,0
A4,34,1.0,1.0,'iʁ,2
B-4,35,2.5,0.5,zak,0
A4,34,1.0,1.0,'iʁ,2
D5,37,2.5,0.5,eɾ,2
E5,38,1.0,1.5,'ʃnItst,2
E4,31,2.5,0.5,ba:I,0
E4,31,1.0,0.75,'miʁ,2
F#4,32,1.75,0.25,zIç,2
G4,33,2.0,0.5,'a:I,0
A4,34,2.5,0.5,nə,1
B4,35,1.0,1.5,'pfa:If,0
A4,34,2.5,0.5,a:ʊs,0
G4,33,1.0,1.0,'ɾoʁ,2
B-4,35,2.5,0.5,zak,0
A4,34,1.0,1.0,'iʁ,2
B-4,35,2.5,0.5,zak,0
A4,34,1.0,1.0,'iʁ,2
D5,37,2.5,0.5,eɾ,2
E5,38,1.0,1.5,'blɛst,0
E4,31,2.5,0.5,den,2
E4,31,1.0,0.5,'kIn,2
C5,36,1.5,0.5,dəɾn,1
A4,34,2.0,0.5,'ʃø,2
E5,38,2.5,0.5,nə,1
G4,33,1.0,1.5,'tents,2
A4,34,2.5,0.5,ʊnt,2
B4,35,1.0,1/3,'li,2
C5,36,1.3333333333333333,1/3,'li,2
A4,34,1.6666666666666665,1/3,'li,2
D5,37,2.0,0.75,'li,2
F#4,32,2.75,0.25,dəʁ,1
G4,33,1.0,1.0,'foʁ,2
F#5,39,2.5,0.5,zak,0
G5,40,1.0,1.0,'iʁs,2
F#5,39,2.5,0.5,zak,0
G5,40,1.0,1.0,'iʁs,2
D5,37,2.5,0.5,zak,0
G4,33,1.0,1.0,'iʁs,2
