hab,hap
weh,və.
bis,bis.
gleich,gla:Iç.
gruß,gɽus.
hat,hat
gute,'gu.tə
morgensterne,'mɔɾ.gən.ʃteɾ.nə
haus,ha:ʊs.
freund,fɾɔ:ynt.
ruft,ɾʊft.
schallt,ʃalt.
liebe,lIbə
blümelein,'bly.mə.la:In
schwarz,ʃvaɾts.
sorgen,'zɔɾ.gən
hain,ha:In.
bach,baχ
herzchen,'hɛɾts.çən
tiefen,'ti.fən
besser,'bɛ.səʁ
ich,Iç
tote,'to.tə
meinen,'ma:I.nən
meinem,'ma:I.nəm
ließest,'li.səst
ruh,ɾu.
fürwahr,fyɾ.'vaɾ
böses,'bœ.zəs
jagen,'ja.gən
weit,va:It.
oben,'o.bən
zur,tsuɾ.
blaß,blas.
brausen,'bɾa:ʊ.zən
müder,'my.deʁ
bist,bIst.
ach,aχ
räume,ɾɔ:I.mə
ob,ɔp.
fein,fa:In.
hier,hiɾ.
tüchlein,'tyç.la:In
zum,tsum.
kann,kan.
brust,bɾʊst.
bliebest,'bli.bɛst
lieben,'li.bən
eine,'a:I.nə
naß,nas.
wasen,'va.zən
her,həʁ.
schüttelt,'ʃy.təlt
was,vas
sonne,'zɔ.nə
jage,'ja.gə
gibt,gIpt.
mich,mIç
mühlbach,'myl.baχ
rädern,'ɾɛ.dəɾn.
grase,'gɾa.sə
um,ʊm.
sausen,'za:ʊ.zən
sein,za:In
treten,'tɾe.tən
ab,ap.
am,am.
ins,Ins.
kleiden,'kla:I.den
garten,'gaɾ.tən
träume,'tɾɔ:y.mə
grünen,'gɾy.nən
liegen,'li.gən
grünem,'gɾy.nəm
blümlein,'blym.la:In
sich,zIç
wohl,vɔl.
lenz,lɛnts.
eurem,'ɔ:y.ɾəm
heide,'ha:I.də
sucht,zʊχt.
gehen,'ge.ən
allein,a.'la:In
taugen,'ta:ʊ.gən
klaffenden,'kla.fən.den
